repo,status,method,seconds
The-HQQ/Human_fetal_lung_atlas,已克隆,镜像ghfast,28.1
asuzuki-asuzuki/Early-Ad_2023,已克隆,镜像ghfast,28.5
alonmillet/apoe-ad-age-atlas,已克隆,直连,2.7
10XGenomics/janesick_nature_comms_2023_companion,已克隆,镜像ghfast,30.9
christophhmayr/2023_Mayr,已克隆,镜像ghfast,31.2
zhangqf-lab/SPACE,已克隆,直连,3.1
spencerfar/fetal_lung_analysis,已克隆,镜像ghfast,31.8
Moldia/ISS_preprocessing,已克隆,直连,1.7
Moldia/ISS_decoding,已克隆,直连,2.4
Teichlab/iss_patcher,已克隆,直连,1.8
Moldia/ISS_postprocessing,已克隆,直连,3.8
Moldia/cellular-architecture-of-evolving-neuroinflammatory-lesions-and-multiple-sclerosis-pathology,已克隆,直连,4.1
Teichlab/skeletal_dev_atlas,已克隆,直连,1.6
Teichlab/drug2cell,已克隆,直连,2.1
ding-lab/ST_subclone_publication,已克隆,直连,2.0
natsuhiko/PHM,已克隆,直连,6.1
Teichlab/snp2cell,已克隆,直连,5.5
ding-lab/morph,已克隆,直连,1.8
ding-lab/10Xmapping,已克隆,直连,1.6
taimeimiaole/NN_hDRG-neuron-sequencing,已克隆,镜像ghfast,40.4
Banovich-Lab/Spatial_PF,已克隆,直连,1.7
Center-for-Spatial-OMICs/SpatialQM,已克隆,直连,2.4
imsb-uke/xenium-cgn,已克隆,直连,5.4
kateyliu/ImagePseudo,已克隆,直连,6.3
WuLabMDA/LungIMC,已克隆,直连,2.4
PansccSpat/SpatialMapESCC,已克隆,直连,2.1
fuscc-deep-path/sc_MTOP,已克隆,直连,1.8
FuduanPeng/LungPCA_Code,已克隆,直连,3.4
VividKai/SpatialBC,已克隆,直连,2.2
LabOnoM/GSE284271,已克隆,直连,3.7
jason-spence-lab/Johnson_et_al_2025,已克隆,直连,2.3
atlasxomics/ATX_epigenomics,已克隆,直连,5.8
mneyazi/cardiac_sarcoidosis,已克隆,直连,1.7
estorrs/multiplex-imaging-pipeline,已克隆,直连,19.6
Goldrathlab/Spatial-TRM-paper,已克隆,直连,16.0
FilbinLab/Multidimensional_STEPN,已克隆,直连,8.3
10XGenomics/HumanColonCancer_VisiumHD,已克隆,直连,26.3
Woopsydaisy/Spatial-Human-Kidney-Map,已克隆,直连,1.7
UCSF-DSCOLAB/spatial_transcriptomics_colitis_analysis_2024,已克隆,直连,3.7
cnio-bu/varca,已克隆,直连,2.0
XL-Genomics/2024_Senescent_Niche_in_HLHS,已克隆,直连,6.9
cy358/Single-cell-profiling-of-NKTCL,已克隆,直连,2.0
xhNorthwestern/Spatial-biology-of-hematopoiesis,已克隆,直连,1.8
digitalcytometry/spatialecotyper,已克隆,直连,14.0
JiekaiLab/mdCLA,已克隆,直连,24.7
ktakehara/Prostate_TRM,已克隆,直连,3.4
SaulerLab/COPD_snRNA-seq,已克隆,直连,2.1
dwilliamsLab/gingiva-2025,已克隆,直连,4.9
icbi-lab/crc-atlas,已克隆,直连,3.0
estorrs/3d-analysis,已克隆,直连,5.5
icbi-lab/shears,已克隆,直连,2.4
yliuup/CRC_micromets_ST,已克隆,直连,3.0
jwangbio/spatial-brain-vasc,已克隆,直连,1.6
XinLi-0419/XeniumSpatialMacrophage,已克隆,直连,1.6
navinlabcode/tnbc-chemo,已克隆,直连,38.5
hisplan/sharp,已克隆,直连,7.2
DFCI-CODEX-group/CODEX-custom-pipeline,已克隆,直连,2.0
maximemeylan/GBM_CAN3110,已克隆,直连,2.3
Lion-shine/Segment-Membranes-and-Nuclei-from-Histopathological-Images-via-Nuclei-Point-level-Supervision,已克隆,直连,2.7
Loci-lab/Oral-Craniofacial-Atlas,已克隆,直连,3.7
vqdang/hover_net,已克隆,直连,4.7
SizunJiangLab/IN-DEPTH,失败: and retry with 'git restore --source=HEAD :/',失败,27.1
YOU-k/cadasSTre,已克隆,直连,1.8
zenglab-pku/SPATCH,已克隆,直连,2.2
broadinstitute/ist_benchmarking,已克隆,直连,3.3
WuLabMDA/CoCo-ST,已克隆,直连,3.7
KChen-lab/ST_Comparison,已克隆,直连,2.3
ding-lab/mushroom,已克隆,直连,78.2
dpeerlab/p53-niche-dynamics,已克隆,直连,29.4
QuKunLab/SpatialBenchmarking,已克隆,直连,10.0
Teichlab/crohns-fibroblast-atlas,已克隆,直连,49.2
Moldia/Xenium_benchmarking,已克隆,直连,51.3
