repo,状态,体积MB,文件数,主语言,LICENSE,env文件,notebook数,最后提交,README摘要,顶层内容
asuzuki-asuzuki/Early-Ad_2023,已克隆,0.2,37,Pythonx12/Rx9,MIT,,0,2025-04-17 19:10:47," Early-Ad_2023 In this study, we performed whole-genome sequencing and multi-layered analysis of early and advanced lung adenocarcinoma. We especially focused on multi-omics features in very early adenocarcinoma cases which are classified by Noguchi classification to understand key molecular events during cancer progression in very early stages. We analyzed a total of 76 non-small cell lung cancer cases including 48 very early adenocarcinomas. - [DNA methylation](./DNA_methylation): DNA methylat",".git,DNA_methylation,LICENSE,Phasing,README.md,Spatial"
10XGenomics/janesick_nature_comms_2023_companion,已克隆,8.2,17,Pythonx2,MIT,environment.yml,1,2023-11-30 14:05:15,"![image.png](figures/nuclei_figure.png)  Code companion to:  High resolution mapping of the breast cancer tumor microenvironment using integrated single cell, spatial and in situ analysis of FFPE tissue Amanda Janesick, Robert Shelansky, Andrew Gottscho, Florian Wagner, Morgane Rouault, Ghezal Beliakoff, Michelli Faria de Oliveira, Andrew Kohlway, Jawad Abousoud, Carolyn Morrison, Tingsheng Yu Drennon, Syrus Mohabbat, Stephen Williams, 10x Development Teams, Sarah Taylor October 20, 2023 Link to",".git,companion_functions.py,companion_notebook.ipynb,environment.yml,figures,LICENSE,README.md"
christophhmayr/2023_Mayr,已克隆,32.4,11,Pythonx10,无LICENSE(仅可学习不可转载),,10,2024-07-18 10:43:47, Mayr_2023 Code for the spatial transcriptomic paper on IPF lungs ![image](https://github.com/christophhmayr/2023_Mayr/assets/58946604/e8134d00-8780-407e-8072-880af683f9d5)  Data availability Processed count tables of the Visium data (10.5281/zenodo.10012934) and the integrated PF-ILD atlas (10.5281/zenodo.10015169) are available on Zenodo. Some notebooks are deposited at Zenodo due to file size limits (10.5281/zenodo.10012934).,".git,final_CellChat_IPFhealthy_analysis.ipynb,final_CellChat_IPFhealthy_processing.ipynb,final_correlation_c2l_annotations_labeltransfer.ipynb,finaL_cytassist_human_visium_integrate_ct_percentages_perNiche.ipynb,final_cytassist_human_visium_integrate_frequencies.ipynb,final_cytassist_human_visium_integrate_functional_Niche_enrichment.ipynb,final_cytassist_human_visium_integrate_senescence_signaturescoring.ipynb,final_cytassist_human_visium_integrate_spatial_neighbourhood_interactions.ipynb,final_cytassist_human_visium_integrate_spatial_neighbourhood_Rings.ipynb,final_IPFatlas_subsetted_plots.ipynb,README.md"
spencerfar/fetal_lung_analysis,已克隆,29.9,31,Pythonx28,MIT,,23,2024-04-16 17:49:50," Fetal lung analysis Trajectory analysis, signaling analysis, spatial analysis, and hPSC analysis for ""Early human fetal lung atlas reveals the temporal dynamics of epithelial cell plasticity"". See also https://github.com/The-HQQ/Human_fetal_lung_atlas/  Versions python packages:  python 3.8.10 numpy 1.22.4 pandas 1.4.2 scanpy 1.9.1 scvelo 0.2.5 cellrank 2.0.0 anndata 0.8.0 matplotlib 3.5.2 sklearn 0.24.0 seaborn 0.13.0 squidpy 1.2.3 scFates 1.0.6  R packages:  R 4.1.3 CellChat 1.6.1 Matrix 1.6.",".git,endothelial,epithelial,hpsc,immune,latentvelo,LICENSE,README.md,signaling,stromal,visium,Wong_Fetal_Lung_Dataset_August_2023.xlsx"
The-HQQ/Human_fetal_lung_atlas,已克隆,0.1,26,Rx24/Pythonx1,无LICENSE(仅可学习不可转载),,0,2024-05-15 17:33:28," Human_fetal_lung_atlas Code availablility for: Early human fetal lung atlas reveals the temporal dynamics of epithelial cell plasticity (Quach &amp; Farrell, et al. 2023). See additional code: https://github.com/Spencerfar/fetal_lung_analysis  System Requirements  Software requirements  OS requirements The code has been tested for _macOS_ and _Linux_ on the following systems:  macOS: Ventura (13.5)  Linux: CentOS Linux 7 (Core)  R dependencies The code requires the following R packages and has ",".git,Data_processing,Figures,README.md,Supplementary_Figures,Supplementary_Note_Figures"
taimeimiaole/NN_hDRG-neuron-sequencing,已克隆,664.0,81,Rx20/Pythonx5,无LICENSE(仅可学习不可转载),,5,2024-08-13 14:51:40,"These source code and data are used for the analysis in the hDRG neuron sequencing manuscript, detailed information is provided below: Figure 1 A: done C:\E\Posdoc work at Upenn\Lab_work\Projected_I_am_intersted_in\Transcriptome of human DRG neurons\Manuscript and figs\Submmision\Nature neuroscience\Final\Revision\Resubmission\20240716_Final\Source data\Figure 1A B: done source code 1.Rmd C:\E\Posdoc work at Upenn\Lab_work\Projected_I_am_intersted_in\Transcriptome of human DRG neurons\Manuscript",".git,.gitattributes,README.md,Source_code_1,Source_code_10,Source_code_11,Source_code_12,Source_code_13,Source_code_14,Source_code_15,Source_code_16,Source_code_17"
alonmillet/apoe-ad-age-atlas,已克隆,3.2,19,Rx9/Pythonx7,MIT,,7,2024-01-03 01:12:37," apoe-ad-age-atlas This repository contains the code needed to reproduce all results and plots in the paper ""An Exhausted-Like Microglial Population Accumulates in Aged and APOE4 Genotype Alzheimer’s Brains"" from Millet, Ledo et al. Code snippets are separated into files mirroring the organization of figures in the manuscript. ![Schematic](schematic.png) Fig_1A-G_and_Fig_S1.R: code needed to generate Seurat structures for the 10wk/20wk/96wk atlas as well as microglial subclustering, plus code fo",".git,CellRank,Fig_1A-G_and_Fig_S1A-G.R,Fig_1H_and_Fig_S1H.R,Fig_2_and_Fig_S2A.R,Fig_3_and_Fig_S3.R,Fig_4_and_Fig_S4.R,Fig_5_and_Fig_S5.R,Fig_6.R,Fig_7_and_Fig_S6.R,Fig_S2D-F.R,LICENSE"
zhangqf-lab/SPACE,已克隆,5.0,17,Pythonx12,MIT,pyproject.toml;requirements.txt;setup.py,5,2024-09-12 15:03:00," Tissue module discovery in single-cell-resolution spatial transcriptomics data via cell-cell interaction-aware cell embedding SPACE (SPatial transcriptomics Analysis via Cell Embedding)  Installation SPACE is implemented in [Pytorch](https://pytorch.org/) framework. SPACE can be run on CPU devices, and running SPACE on GPU devices if available is recommended.  Software dependencies  Install Pytorch Please install Pytorch in advance by following the instructions on : https://pytorch.org/get-star",".git,example_data,LICENSE,pyproject.toml,README.md,requirements.txt,scripts,setup.py,space"
Moldia/ISS_preprocessing,已克隆,0.2,31,Pythonx6/Shellx1,无LICENSE(仅可学习不可转载),setup.py,2,2022-11-08 14:27:31,"ISS_processing is a Python package used to process In situ sequencinig data. This includes the preprocessing of the data, including alignment and stitching (using [ASHLAR](https://github.com/labsyspharm/ashlar)) and retiling. Installation: You can download installation.sh and just execute it. It will install this repository( ISS_preprocessing) as well as ISS_decoding and ISS_postprocessing",".DS_Store,.git,dist,installation.sh,ISS_preprocessing.ipynb,ISS_processing,ISS_processing.egg-info,preprocessing.yml,README.md,setup.py,Stacking_files_demo.ipynb,__init__.py"
Moldia/ISS_decoding,已克隆,5.7,40,Pythonx12,无LICENSE(仅可学习不可转载),setup.py,3,2022-06-15 13:45:25,ISS_decoding is a Python package used to decode In situ sequencinig data.,".git,.ipynb_checkpoints,build,decoding.yml,dist,Example_decoding.ipynb,ISS_decoding,ISS_decoding.egg-info,ISS_decoding.ipynb,README.md,setup.py,__pycache__"
