文献IDs,主分类初判,owner,repo,URL,验证状态,HTTP,精选级,克隆状态,锁定SHA,默认分支,LICENSE,主语言,体积MB,运行入口,备注
LIT-001,P8,asuzuki-asuzuki,Early-Ad_2023,https://github.com/asuzuki-asuzuki/Early-Ad_2023,✅可访问,200,A,已克隆,c87dcb80f5ccfa9f07de9362f1be4619743f3a61,,MIT,Pythonx12/Rx9,0.2,,经镜像克隆
LIT-002,P8,10XGenomics,janesick_nature_comms_2023_companion,https://github.com/10XGenomics/janesick_nature_comms_2023_companion,✅可访问,200,S,已克隆,60828a5a112254336f138bc759caa547b9e80654,,MIT,Pythonx2,8.2,,经镜像克隆
LIT-004,P8,christophhmayr,2023_Mayr,https://github.com/christophhmayr/2023_Mayr,✅可访问,200,A,已克隆,6ea419ffd2ece3774a6cca8b2c860fb819658109,,无LICENSE(仅可学习不可转载),Pythonx10,32.4,,经镜像克隆
LIT-008,P8,spencerfar,fetal_lung_analysis,https://github.com/spencerfar/fetal_lung_analysis,✅可访问,200,A,已克隆,babeafce3daf1e1c199eadb71d28fb0a4d60a5fb,,MIT,Pythonx28,29.9,,经镜像克隆
LIT-008,P2,The-HQQ,Human_fetal_lung_atlas,https://github.com/The-HQQ/Human_fetal_lung_atlas,✅可访问,200,A,已克隆,d4bad09dcc4894b2efaefc5c3be1761fa4633eb4,,无LICENSE(仅可学习不可转载),Rx24/Pythonx1,0.1,,经镜像克隆
LIT-010,P8,taimeimiaole,NN_hDRG-neuron-sequencing,https://github.com/taimeimiaole/NN_hDRG-neuron-sequencing,✅可访问,200,A,已克隆,3759bed52e0551a818b67a598ab95a1a1acfcfe0,,无LICENSE(仅可学习不可转载),Rx20/Pythonx5,664.0,,经镜像克隆
LIT-012,P2,alonmillet,apoe-ad-age-atlas,https://github.com/alonmillet/apoe-ad-age-atlas,✅可访问,200,A,已克隆,754663ba478a4c9b8a869d2bb90b401bce35a566,,MIT,Rx9/Pythonx7,3.2,,
LIT-016,P3,zhangqf-lab,SPACE,https://github.com/zhangqf-lab/SPACE,✅可访问,200,S,已克隆,6fc15f9eb84267e8eaa2f2a2c34f1508a0d5db09,,MIT,Pythonx12,5.0,,"档案卡批次3复核P8->P3(互作感知组织模块发现,次P4)"
LIT-017,P0,Moldia,ISS_preprocessing,https://github.com/Moldia/ISS_preprocessing,✅可访问,200,S,已克隆,b44f242a8425a78eb48f98642b8cc216ee716bf4,,无LICENSE(仅可学习不可转载),Pythonx6/Shellx1,0.2,,
LIT-017,P0,Moldia,ISS_decoding,https://github.com/Moldia/ISS_decoding,✅可访问,200,S,已克隆,10b318e1d84c2f8210860aa313c9d675167ccf7c,,无LICENSE(仅可学习不可转载),Pythonx12,5.7,,
LIT-017,P0,Moldia,ISS_postprocessing,https://github.com/Moldia/ISS_postprocessing,✅可访问,200,S,已克隆,3c779c6bc1673c73a21a3dfd30212e80945c084a,,MIT,Pythonx8,40.7,,
LIT-017,P8,Moldia,cellular-architecture-of-evolving-neuroinflammatory-lesions-and-multiple-sclerosis-pathology,https://github.com/Moldia/cellular-architecture-of-evolving-neuroinflammatory-lesions-and-multiple-sclerosis-pathology,✅可访问,200,A,已克隆,a9869c66c0d1965e00d4938d6fd79554fce78703,,无LICENSE(仅可学习不可转载),Pythonx25,14.8,,
LIT-018,P8,natsuhiko,PHM,https://github.com/natsuhiko/PHM,✅可访问,200,A,已克隆,09f70244f02c56e457b16d930c9006fcd4e03629,,无LICENSE(仅可学习不可转载),Shellx8/C/C++头x7,47.2,,"非空间仓(C/C++统计遗传方法),一期保留观察,终审复核去留"
LIT-018,P1,Teichlab,iss_patcher,https://github.com/Teichlab/iss_patcher,✅可访问,200,A,已克隆,686991c272486dfe43d0bc078d98ac2174aeb55b,,MIT,Pythonx3,1.3,,
LIT-018,P5,Teichlab,snp2cell,https://github.com/Teichlab/snp2cell,✅可访问,200,S,已克隆,e25a6a7fc747a3d3efd759417def1828e4b80e2f,,BSD-3,Pythonx14,127.0,,"License更正:BSD-3(非MIT),档案卡批次3实测"
LIT-018,P2,Teichlab,skeletal_dev_atlas,https://github.com/Teichlab/skeletal_dev_atlas,✅可访问,200,A,已克隆,91630a160f2fb62bf7a1cec3df4643fb7e5ede46,,BSD,Pythonx21,0.2,,
LIT-018,P5,Teichlab,drug2cell,https://github.com/Teichlab/drug2cell,✅可访问,200,S,已克隆,a786c632fc521b94f597e452e2f09c45fd451640,,自定义LICENSE(需人工核),Pythonx9,4.5,,
LIT-019,P8,ding-lab,ST_subclone_publication,https://github.com/ding-lab/ST_subclone_publication,✅可访问,200,A,已克隆,7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa,,无LICENSE(仅可学习不可转载),Rx32/Shellx11/Pythonx2,1.5,,
LIT-019;LIT-071,P1,ding-lab,mushroom,https://github.com/ding-lab/mushroom,✅可访问,200,S,已克隆,dc3598950fd233f2255a8e53006c915cc425a4a7,,MIT,Pythonx252/Rx1,953.7,,
LIT-019,P1,ding-lab,morph,https://github.com/ding-lab/morph,✅可访问,200,A,已克隆,ba1db03976a72f0da0558e87207054ef9404309b,,MIT,Pythonx7,0.4,,
LIT-019,P6,ding-lab,10Xmapping,https://github.com/ding-lab/10Xmapping,✅可访问,200,B,已克隆,8d6fc1602c49d94bbcf5944a1dad0ed86f85bb19,,无LICENSE(仅可学习不可转载),非代码,0.0,,"功能实为变异->条码映射,与P6定义矛盾,终审定夺"
LIT-019,P7,estorrs,multiplex-imaging-pipeline,https://github.com/estorrs/multiplex-imaging-pipeline,✅可访问,200,S,已克隆,c351da1d41e284eef2f732b3553e5602438ed978,,MIT,Pythonx61/Shellx4,199.6,,
LIT-022,P8,imsb-uke,xenium-cgn,https://github.com/imsb-uke/xenium-cgn,✅可访问,200,A,已克隆,3e2bce3faf9397970f74267854f2485ad442817e,,无LICENSE(仅可学习不可转载),Pythonx56/Shellx1,45.4,,
LIT-023,P7,kateyliu,ImagePseudo,https://github.com/kateyliu/ImagePseudo,✅可访问,200,S,已克隆,65dd85fa47f9bd47d064108e07bc68a763d07983,,UT Southwestern学术专用,Pythonx4,116.0,,"License更正:非MIT,学术专用,档案卡批次3实测"
