文献ID,来源类型,accession或URL,核验URL,验证状态,HTTP详情,备注
LIT-002,网页,https://www.10xgenomics.com/support#software,https://www.10xgenomics.com/support#software,⚠️未能访问,HTTP 429（可能反爬/网络）,
LIT-006,GitHub,https://github.com/ianfolkert,https://github.com/ianfolkert,✅可访问,https://github.com/ianfolkert,非仓库GitHub链接
LIT-007,网页,https://spinal-development.cellgeni.sanger.ac.uk,https://spinal-development.cellgeni.sanger.ac.uk,✅可访问,https://spinal-development.cellgeni.sanger.ac.uk,
LIT-010,网页,https://ernforsluolabs.shinyapps.io/HumanDRG/,https://ernforsluolabs.shinyapps.io/HumanDRG/,✅可访问,https://ernforsluolabs.shinyapps.io/HumanDRG/,
LIT-010,网页,https://sccamel.readthedocs.io/,https://sccamel.readthedocs.io/,✅可访问,https://sccamel.readthedocs.io/,
LIT-014,网页,https://gitlab.com/xavier-lab-computation/public/molecular-cartography-mouse-gut,https://gitlab.com/xavier-lab-computation/public/molecular-cartography-mouse-gut,✅可访问,https://gitlab.com/xavier-lab-computation/public/molecular-cartography-mouse-gut,
LIT-014,Zenodo,https://doi.org/10.5281/zenodo.8383894,https://doi.org/10.5281/zenodo.8383894,✅可访问,https://doi.org/10.5281/zenodo.8383894,
LIT-016,Zenodo,https://zenodo.org/doi/10.5281/zenodo.10714761,https://zenodo.org/doi/10.5281/zenodo.10714761,✅可访问,https://zenodo.org/doi/10.5281/zenodo.10714761,
LIT-023,网页,https://huggingface.co/owkin/phikon,https://huggingface.co/owkin/phikon,✅可访问,https://huggingface.co/owkin/phikon,
LIT-023,Zenodo,https://zenodo.org/records/15659784,https://zenodo.org/records/15659784,✅可访问,https://zenodo.org/records/15659784,
LIT-025,Zenodo,https://doi.org/10.5281/zenodo.14538392,https://doi.org/10.5281/zenodo.14538392,✅可访问,https://doi.org/10.5281/zenodo.14538392,
LIT-026,Zenodo,https://zenodo.org/records/15042463,https://zenodo.org/records/15042463,✅可访问,https://zenodo.org/records/15042463,
LIT-026,网页,https://www.10xgenomics.com/analysis-guides/segmentation-visium-hd,https://www.10xgenomics.com/analysis-guides/segmentation-visium-hd,⚠️未能访问,HTTP 429（可能反爬/网络）,
LIT-028,网页,https://spatialtouchstone.org,https://spatialtouchstone.org,⚠️未能访问,HTTP 403（可能反爬/网络）,
LIT-039,网页,https://gitlab.com/railab/spatial-biology-reveals-macrophage-dysfunction-in-immunosuppressed-non-melanoma-skin-cancer,https://gitlab.com/railab/spatial-biology-reveals-macrophage-dysfunction-in-immunosuppressed-non-melanoma-skin-cancer,✅可访问,https://gitlab.com/railab/spatial-biology-reveals-macrophage-dysfunction-in-immunosuppressed-non-melanoma-skin-cancer,
LIT-041,网页,http://mdcla.ccla.ac.cn/,http://mdcla.ccla.ac.cn/,✅可访问,http://mdcla.ccla.ac.cn/,
LIT-045,网页,https://doi.org/10.5281/Zenodo.17871734,https://doi.org/10.5281/Zenodo.17871734,✅可访问,https://doi.org/10.5281/Zenodo.17871734,
LIT-047,网页,https://spatialecotyper.stanford.edu,https://spatialecotyper.stanford.edu,✅可访问,https://spatialecotyper.stanford.edu,
LIT-054,Zenodo,https://doi.org/10.5281/zenodo.19608038,https://doi.org/10.5281/zenodo.19608038,✅可访问,https://doi.org/10.5281/zenodo.19608038,
LIT-055,Zenodo,https://doi.org/10.5281/zenodo.19403239,https://doi.org/10.5281/zenodo.19403239,✅可访问,https://doi.org/10.5281/zenodo.19403239,
LIT-057,Zenodo,https://doi.org/10.5281/zenodo.20780871,https://doi.org/10.5281/zenodo.20780871,✅可访问,https://doi.org/10.5281/zenodo.20780871,
LIT-060,Zenodo,https://doi.org/10.5281/zenodo.20414337,https://doi.org/10.5281/zenodo.20414337,✅可访问,https://doi.org/10.5281/zenodo.20414337,
LIT-061,Zenodo,https://doi.org/10.5281/zenodo.18716544,https://doi.org/10.5281/zenodo.18716544,✅可访问,https://doi.org/10.5281/zenodo.18716544,
LIT-064,Zenodo,https://doi.org/10.5281/zenodo.17410995,https://doi.org/10.5281/zenodo.17410995,✅可访问,https://doi.org/10.5281/zenodo.17410995,
LIT-068,网页,https://cells-test.gi.ucsc.edu/?ds=macrophage-atlas+mTumor,https://cells-test.gi.ucsc.edu/?ds=macrophage-atlas+mTumor,✅可访问,https://cells-test.gi.ucsc.edu/?ds=macrophage-atlas+mTumor,
LIT-068,网页,https://cells-test.gi.ucsc.edu/?ds=mouse-lung-b16（UCSC,https://cells-test.gi.ucsc.edu/?ds=mouse-lung-b16,✅可访问,https://cells-test.gi.ucsc.edu/?ds=mouse-lung-b16,
LIT-069,Zenodo,https://doi.org/10.5281/zenodo.17635478,https://doi.org/10.5281/zenodo.17635478,✅可访问,https://doi.org/10.5281/zenodo.17635478,
LIT-070,网页,https://sizunjianglab.github.io/IN-DEPTH/,https://sizunjianglab.github.io/IN-DEPTH/,✅可访问,https://sizunjianglab.github.io/IN-DEPTH/,
LIT-072,网页,https://crc.icbi.at/(atlas网页),https://crc.icbi.at/,✅可访问,https://crc.icbi.at/,
LIT-073,网页,https://pancreaticcancer.cn/(ctPANDA交互平台),https://pancreaticcancer.cn/,⚠️未能访问,SSLError（可能网络原因）,
LIT-078,Zenodo,https://doi.org/10.5281/zenodo.188925921,https://doi.org/10.5281/zenodo.188925921,❌失效,https://doi.org/10.5281/zenodo.188925921,
LIT-082,Zenodo,https://doi.org/10.5281/zenodo.18474758,https://doi.org/10.5281/zenodo.18474758,✅可访问,https://doi.org/10.5281/zenodo.18474758,
LIT-086,网页,https://broadinstitute.github.io/ist_benchmarking_showcase_portal/,https://broadinstitute.github.io/ist_benchmarking_showcase_portal/,✅可访问,https://broadinstitute.github.io/ist_benchmarking_showcase_portal/,
LIT-086,网页,https://broadinstitute.github.io/celldega/,https://broadinstitute.github.io/celldega/,✅可访问,https://broadinstitute.github.io/celldega/,
LIT-087,Zenodo,https://doi.org/10.5281/zenodo.16891007,https://doi.org/10.5281/zenodo.16891007,✅可访问,https://doi.org/10.5281/zenodo.16891007,
