文献ID,中文题名,英文题名,期刊,年份,方法工具,公开代码URL数
LIT-001,全基因组测序揭示肺腺癌逐步进展的分子机制,Whole-genome sequencing reveals the molecular implications of the stepwise progression of lung adenocarcinoma,Nature Communications,2023,BWA-MEM;SAMtools;Picard;GATK Mutect2;ANNOVAR;Control-FREEC;Minimap2;Nanomonsv;GenomonSV;BLAST+;SigProfilerExtractor;Nanopolish;guppy;WhatsHap;BCFtools;FACETS;snp-pileup;PyClone-VI;ClonEvol;STAR;fastp;Bowtie 2;featureCounts;DESeq2;Metascape;Space Ranger;Seurat;Giotto;CellChat;RCTD;CIBERSORTx;scatterpie;QuPath;Xenium Onboard Analysis;Xenium Explorer;Wilcoxon rank sum test;Fisher's exact test,1
LIT-002,利用单细胞空间和原位分析的整合对肿瘤微环境进行高分辨率图谱,"High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis",Nature Communications,2023,Cell Ranger;Space Ranger;Loupe Browser;Xenium Explorer;Xenium Ranger;Xenium Onboard Analysis;Scanpy;Seurat;monet;RCTD;Enrichr;Fiji BigWarp;cv2;ggplot2;bcl2fastq;Wilcoxon,1
LIT-003,围产期小鼠皮肤真皮成纤维细胞发育的单细胞和空间转录组分析：动态谱系分化与关键驱动基因,Single-Cell and Spatial Transcriptome Analysis of Dermal Fibroblast Development in Perinatal Mouse Skin: Dynamic Lineage Differentiation and Key Driver Genes,Journal of Investigative Dermatology,2024,Scanpy;scVI-tools;SoupX;scDblFinder;Velocyto;scVelo;CellRank;WOT;pySCENIC;TRRUST;CellChat;Xenium Onboard Analysis;Xenium Explorer;Fiji;diffusion pseudotime,0
LIT-004,特发性肺纤维化病理生态位的空间转录组学表征,Spatial transcriptomic characterization of pathologic niches in IPF,Science Advances,2024,Scanpy;Squidpy;cell2location;scVI-tools;Space Ranger;CellChat;PROGENy;decoupleR;GSEApy;hotspot;HALO;anndata;NMF;Leiden;Wilcoxon,1
LIT-005,鉴定X连锁视网膜劈裂视网膜类器官和患者特异性突变小鼠的多组学特征,Identifying Multiomic Signatures of X-Linked Retinoschisis-Derived Retinal Organoids and Mice Harboring Patient-Specific Mutation Using Spatiotemporal Single-Cell Transcriptomics,Advanced Science,2025,Xenium;Visium CytAssist;IPA;Student's t-test;one-way ANOVA,0
LIT-006,富铁巨噬细胞亚群通过Bach1-Ednrb轴促进肿瘤生长,An iron-rich subset of macrophages promotes tumor growth through a Bach1-Ednrb axis,J. Exp. Med.,2024,Seurat;SingleR;MAST;clusterProfiler;fgsea;escape;Kallisto;limma-voom;Enrichr;CytoTalk;Xenium Onboard Analysis;Xenium Explorer;QuPath;ImageJ;FlowJo;GraphPad Prism,1
LIT-007,人类脊柱发育中的HOX基因表达,HOX gene expression in the developing human spine,Nature Communications,2024,Seurat;Cell Ranger;Space Ranger;SoupX;Scrublet;cell2location;Cellpose;PoSTcode;Microaligner;annoy;sceasy;DoRothEA;DESeq2;MCVR;Visutils;WebAtlas,1
LIT-008,早期人类胎儿肺图谱揭示上皮细胞可塑性的时间动态,Early human fetal lung atlas reveals the temporal dynamics of epithelial cell plasticity,Nature Communications,2024,Seurat;Scanpy;Cell Ranger;Space Ranger;Clustree;SCENIC;LatentVelo;scVelo;PAGA;CellRank;Slingshot;Palantir;tradeSeq;CellChat;Squidpy;RCTD;bbknn;EnrichR;Wilcoxon,1
LIT-009,清除p21高表达衰老细胞可加速皮肤伤口愈合,Clearance of p21 highly expressing senescent cells accelerates cutaneous wound healing,Nature Aging,2024,Seurat;MAST;GSEA;HISAT2;SAMtools;htseq-count;Trimmomatic;Xenium Explorer;QuPath;GraphPad Prism,0
LIT-010,利用深度单体RNA测序探索人类躯体感觉的神经基础,Leveraging deep single-soma RNA sequencing to explore the neural basis of human somatosensation,Nature Neuroscience,2024,Seurat;Conos;scCAMEL;SWAPLINE;GENIE3;STAR;Cutadapt;ImageJ;GraphPad Prism,1
LIT-011,通过再现间质流动构建多层小肠样组织,Construction of multilayered small intestine-like tissue by reproducing interstitial flow,Cell Stem Cell,2024,Xenium Onboard Analysis;Xenium Explorer;Cell Ranger;Seurat;ICARUS;scType;Louvain;DESeq2;STAR;htseq-count;cutadapt;DIA-NN;GSEA;GraphPad Prism;t-test;ANOVA;lattice-Boltzmann CFD;Fiji/ImageJ,0
LIT-012,衰竭样小胶质细胞群在老年和APOE4基因型阿尔茨海默病大脑中积聚,An Exhausted-Like Microglial Population Accumulates in Aged and APOE4 Genotype Alzheimer's Brains,Immunity,2024,Xenium Onboard Analysis;Seurat;Seurat label transfer;Squidpy;Cell Ranger;Signac;miQC;MACS2;kb-python;scVelo;CellRank;CytoTRACE;CellPhoneDB;CellChat;SCENIC;SCENIC+;MIRA;chromVAR;Bisque;Salmon;Compass;limma/voom;Welch's t-test;Kruskal-Wallis;chi-square test;Mann-Whitney-Wilcoxon,1
LIT-013,使用异位掌侧成纤维细胞改变皮肤身份,The use of ectopic volar fibroblasts to modify skin identity,Science,2024,Xenium Onboard Analysis;Seurat;CellChat;Monocle;DESeq2;STAR;GSEA;DAVID;Wilcoxon;scSorter;ImageJ;TrackMate;CellProfiler;SciPy;GraphPad Prism;t-test;ANOVA;AI deep learning(IoU),0
LIT-014,肠道中免疫和微生物群驱动的空间限制性适应,Spatially restricted immune and microbiota-driven adaptation of the gut,Nature,2024,Visium(Space Ranger);Seurat;Xenium Onboard Analysis;Cell Ranger;CellBender;DoubletFinder;scVelo;cell2location;MAST;Louvain;ranger(random forest);KNN(30-NN) classifier;dynamic time warping;strucchange;RcisTarget;enrichR;Wilcoxon;Fisher's exact test;Spearman/Pearson correlation;Jaccard similarity;ImageJ;t-test,1
LIT-015,抗CSF-1R治疗的纤维化反应促进胶质母细胞瘤复发,Fibrotic response to anti-CSF-1R therapy potentiates glioblastoma recurrence,Cancer Cell,2024,Xenium Onboard Analysis;Xenium Ranger;Seurat;Seurat label transfer;UCell;Cell Ranger;DoubletFinder;muscat;edgeR;clusterProfiler;GSEA;ProjecTILs;NicheNet;imcRtools;igraph;spatstat;STACAS;StarDist;QuPath;HIFI Alignment Tool;MaxQuant;Perseus;Cytoscape;Louvain;FNN;GraphPad Prism;t-test;ANOVA;Log-rank (Mantel-Cox),0
LIT-016,通过细胞间相互作用感知嵌入在单细胞分辨率空间转录组数据中发现组织模块,Tissue module discovery in single-cell-resolution spatial transcriptomics data via cell-cell interaction-aware cell embedding,Cell Systems,2024,SPACE;BANKSY;STAGATE;SCANPY;SpaGCN;BayesSpace;SpaceFlow;GraphST;SEDR;FICT;Leiden;Schürch et al.(neighborhood coordination);CellChat;Squidpy,1
LIT-017,演变中神经炎症病变和多发性硬化症病理的细胞结构,Cellular architecture of evolving neuroinflammatory lesions and multiple sclerosis pathology,Cell,2024,ISS(CartaNA HybISS);Xenium;Xenium Onboard Analysis;StarDist;CARE;Deconwolf;ASHLAR;starfish;Scanpy;Squidpy;Leiden;PAGA;Seurat;CellChat;scanpy-ingest;TissUUmaps,1
LIT-018,人类胚胎骨骼发育多组学图谱,A multi-omic atlas of human embryonic skeletal development,Nature,2024,CellRanger-ARC;STARsolo;Souporcell;SoupX;CellBender;EmptyDropsMultiome;Scrublet;AMULET;ArchR;MACS2;muon;BBKNN;MultiVI;scVI-tools;Scanpy;Leiden;CellTypist;CellHint;MILO;cell2location;ISS-Patcher;OrganAxis;TissueTag;PoSTcode;Cellpose;Microaligner;SCENIC+;pycistopic;pycistarget;GRNBoost2;AUCell;scFates;Palantir;Monocle;Moran's I;scVelo;velocyto;cytoTRACE;CellRank;CellOracle;CellPhoneDB;NicheNet;Drug2Cell;Seurat;SpaceRanger;fGWAS;ComplexHeatmap;iDISCO+;RNAscope,1
LIT-019,肿瘤在二维和三维空间中的进化与微环境相互作用,Tumour evolution and microenvironment interactions in 2D and 3D space,Nature,2024,Seurat;RCTD;ESTIMATE;InferCNV;CalicoST;Morph;scVarScan(10Xmapping);PASTE2;COMMOT;CellChatDB;Leiden;Mesmer;DeepCell;BigWarp;mushroom(ViT自编码器);Napari;Imaris;ROGUE;clusterProfiler;msigdbr;Enrichr(LINCS L1000);singleR;GATK;Somaticwrapper;SpaceRanger;TorchIO;scikit-image;scipy,1
LIT-020,癌相关成纤维细胞维持胰腺癌细胞在肿瘤微环境中的关键脂质稳态,Cancer-associated fibroblasts maintain critical pancreatic cancer cell lipid homeostasis in the tumor microenvironment,Cell Reports,2024,Xenium;Scanpy;Scimap;LC-HRMS(LipidSearch);ImageJ,0
LIT-021,乳腺癌空间单细胞转录组分析揭示PD-1阻断治疗的潜在生物标志物,Spatial Single-Cell Transcriptomic Analysis in Breast Cancer Reveals Potential Biomarkers for PD-1 Blockade Therapy,Research Square (预印本),2024,Seurat;Louvain;t-SNE;UMAP;CellTrek;CellPhoneDB;SpaGE;Tangram;Cytoscape;CytoHubba;STRING;K-means;ggplot2,0
