repo,步骤序列,步骤数,总分14
10XGenomics__janesick_nature_comms_2023_companion,数据读取>质控QC>归一化>聚类>注释>空间统计>配准/3D>绘图>导出,9,10
Center-for-Spatial-OMICs__SpatialQM,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>细胞通讯>亚细胞>空间统计>多样本整合>绘图>导出,14,8
Goldrathlab__Spatial-TRM-paper,数据读取>质控QC>归一化>HVG>降维>聚类>注释>空间邻域/域>细胞通讯>空间统计>多样本整合>绘图>导出,13,10
KChen-lab__ST_Comparison,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>多样本整合>绘图>导出,15,6
Moldia__ISS_decoding,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,7
Moldia__ISS_postprocessing,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,4
Moldia__ISS_preprocessing,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,6
Moldia__Xenium_benchmarking,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,6
QuKunLab__SpatialBenchmarking,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>细胞通讯>亚细胞>空间统计>多样本整合>绘图>导出,14,7
Teichlab__crohns-fibroblast-atlas,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,7
Teichlab__drug2cell,数据读取>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,15,10
Teichlab__snp2cell,数据读取>归一化>HVG>降维>聚类>注释>去卷积>亚细胞>绘图>导出,10,13
UCSF-DSCOLAB__spatial_transcriptomics_colitis_analysis_2024,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>空间统计>多样本整合>绘图>导出,14,8
Woopsydaisy__Spatial-Human-Kidney-Map,数据读取>质控QC>归一化>HVG>降维>聚类>注释>空间邻域/域>细胞通讯>空间统计>多样本整合>绘图>导出,13,7
broadinstitute__ist_benchmarking,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>绘图>导出,15,9
digitalcytometry__spatialecotyper,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,11
ding-lab__mushroom,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,9
dpeerlab__p53-niche-dynamics,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,9
estorrs__3d-analysis,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,15,6
estorrs__multiplex-imaging-pipeline,数据读取>注释>空间邻域/域>亚细胞>空间统计>绘图>导出,7,10
hisplan__sharp,数据读取>质控QC>注释>导出,4,13
icbi-lab__crc-atlas,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,9
kateyliu__ImagePseudo,数据读取>质控QC>归一化>降维>聚类>注释>绘图>导出,8,5
navinlabcode__tnbc-chemo,数据读取>质控QC>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>多样本整合>绘图>导出,13,9
vqdang__hover_net,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,12
zenglab-pku__SPATCH,数据读取>质控QC>归一化>HVG>降维>聚类>注释>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,15,5
zhangqf-lab__SPACE,数据读取>质控QC>归一化>HVG>降维>聚类>注释>去卷积>空间邻域/域>细胞通讯>亚细胞>空间统计>配准/3D>多样本整合>绘图>导出,16,9
